"ts","193.ImageMeanValue_m","193.SunMeanIntensity_m","193.SunVarIntensity_m","193.Total_Nubmers_of_CH_m","193.Relative_CH_Area_m","193.Relative_CH_CorrectSphereArea_m","211.ImageMeanValue_m","211.SunMeanIntensity_m","211.SunVarIntensity_m","211.Total_Nubmers_of_CH_m","211.Relative_CH_Area_m","211.Relative_CH_CorrectSphereArea_m","density_mean","density_noise_sd","velocity_mean","velocity_noise_sd","temperature_mean","temperature_noise_sd"
3628,268.236279163955,32.291593479188,727.454778130095,80.0269238677389,1.81559122278221,1.62711970476835,124.431486682487,29.4693583198719,792.612598520634,320.411916134413,4.13691671334509,3.22236490044775,4.15363727346228,0.48340142592722,345.839243112562,3.12287816556206,40394.8485455663,18003.9277919197
3629,268.623737336159,32.3442165710561,730.700459262334,78.5716106273005,1.7787640197453,1.58153612440178,124.606812536458,29.5079987327234,795.723953604688,318.25514275026,4.07042778020718,3.15752215266509,4.18006750779989,0.530638476218179,345.553049494983,3.15727715674366,39502.7541182496,18299.8983385026
3630,269.013246747609,32.3969711792528,734.098269082433,77.1497924303628,1.74269561757744,1.53683308634865,124.784286439581,29.5470974956201,799.063017629273,316.048573627011,4.00356283040936,3.09289438717826,4.2092782293143,0.581559820972552,345.317436224154,3.20222683808974,38638.1506840367,18625.9678052294
3631,269.404645597084,32.4498674104283,737.646929447651,75.7623337521119,1.70743304639642,1.49307292356696,124.963813860027,29.5866841762205,802.629476816425,313.796548395747,3.93648700152763,3.02863027496127,4.24112871018404,0.636482934839257,345.128842430471,3.25818267362531,37801.5276943249,18981.9653198814
3632,269.797772083361,32.502915371233,741.345162215249,74.4100990677332,1.67302333631999,1.4503179690147,125.145300265967,29.6267883421834,806.423017388177,311.503406687553,3.86936543113814,2.96487848698827,4.27547822258759,0.69572529246719,344.98370724433,3.32560012737535,36993.3746005122,19367.7200102396
3633,270.192464405219,32.5561251683173,745.191689242485,73.093952852414,1.63951351746599,1.40863055564991,125.328651125571,29.6674395611674,810.443325566565,309.173488133512,3.80236325681689,2.90178769423329,4.31218603870346,0.75960436850525,344.878469796127,3.40493466336487,36214.1808539964,19783.061004085
3634,270.588560761433,32.6095069083314,749.185232386619,71.8147595813396,1.60695061995217,1.36807301643058,125.51377190701,29.7086674008311,814.690087573626,306.811132364706,3.73564561613993,2.83950656767036,4.35111143071013,0.828437637602331,344.809569216261,3.49664174561885,35464.4359061757,20227.8174291985
3635,270.985899350784,32.6630706979258,753.324513504912,70.5733837296962,1.57538167389631,1.32870768431471,125.700568078455,29.7505014288332,819.162989631391,304.42067901222,3.66937764668336,2.77818377827362,4.39211367078613,0.902542574407369,344.773444635125,3.60117683816234,34744.6292084474,20701.8184133615
3636,271.384318372047,32.7168266437508,757.608254454624,69.3706897726698,1.5448537094162,1.29059689226031,125.888945108075,29.7929712128324,823.861717961896,302.006467707135,3.60372448602323,2.71796799701709,4.43505203110991,0.982236653569188,344.766535183118,3.71899540502024,34055.2502122103,21204.8930843545
3637,271.783656024002,32.7707848524567,762.035177093014,68.2075421854464,1.51541375662962,1.25380297322539,126.078808464043,29.8361063204873,828.78595878718,299.572838080534,3.53885127173554,2.65900789487483,4.47978578385999,1.06783734973672,344.785279990636,3.85055291021757,33396.7883688618,21736.8705699587
