hours since 2015-01-01 00:00,Relative_CH_CorrectSphereArea
119.951666666666666666666666666666666667,6.75
120.951666666666666666666666666666666667,6.75
121.951666666666666666666666666666666667,6.73
122.951666666666666666666666666666666667,6.5
123.951666666666666666666666666666666667,6.65
124.951666666666666666666666666666666667,6.6
125.951666666666666666666666666666666667,6.37
126.051666666666666666666666666666666667,6.42
126.101666666666666666666666666666666667,6.35
126.151666666666666666666666666666666667,6.39
126.201666666666666666666666666666666667,6.43
126.251666666666666666666666666666666667,6.38
126.301666666666666666666666666666666667,6.34
126.351666666666666666666666666666666667,6.4
126.401666666666666666666666666666666667,6.36
126.451666666666666666666666666666666667,6.39
126.502222222222222222222222222222222222,5.97
126.551666666666666666666666666666666667,6.39
126.601944444444444444444444444444444444,6.31
126.651666666666666666666666666666666667,6.38
126.701666666666666666666666666666666667,6.33
