"hours since 01.01.2015  1:00:00",velocity,density,temperature,status
349,400.8,1.5,99600,1
350,384.7,2.6,116000,0
351,395.1,2,88700,0
352,391.8,2.3,74100,1
353,396.1,2,76900,0
354,401.9,1.5,75300,0
355,399.9,1.9,69900,0
356,396.1,0.6,60500,0
357,405.9,0.6,63200,0
358,396.8,3.3,76300,0
359,418.8,4.7,93300,1
360,408.6,3.7,86800,0
361,423.9,6.3,135000,0
362,404.5,6.7,127000,0
363,396.7,5.9,145000,0
364,407.7,5.2,126000,1
365,381.2,4.4,92600,1
366,387.5,4.9,101000,1
367,390.6,3.8,85400,0
368,393.7,4.3,90400,0
369,397.6,2.9,90100,0
370,371.5,4.1,71400,1
371,376.4,2.6,73700,0
372,378.5,2,69800,0
373,368,2.6,69500,0
374,365.8,2.4,98700,1
375,354.5,3.7,63200,1
376,358.2,4.3,56100,0
377,362.7,3.2,85200,1
378,368,2.8,87700,0
379,371.7,2.3,85300,0
380,379.3,2.1,65300,0
381,369.3,5.1,55700,1
382,355.8,4,45200,0
383,356.1,4.4,34500,0
384,362.4,4.3,36600,0
385,371.9,4.1,32900,0
386,364.3,4.6,34200,0
387,361.6,2.7,68400,0
388,361.4,1.5,80200,1
389,353.4,2,58000,0
390,354.1,2.3,64700,0
391,352.9,3.5,41500,0
392,361.1,3,28000,0
393,357.7,1.8,61400,0
394,358.3,2.4,45300,0
395,360.5,3.4,40000,1
396,355,2.8,48600,1
397,353.4,2,56300,0
398,355.1,3.1,29500,0
399,356.4,3.7,25800,0
400,352.4,3.2,31500,0
401,351.5,4,33500,0
402,345.5,1.9,68900,0
403,337.3,3.1,42300,0
404,345.3,2.3,59700,0
405,342,1.8,47300,0
406,342.7,3.1,46300,0
407,340.1,4.1,39000,0
408,340.8,2.5,39100,0
409,345,2,46500,0
410,344.3,2.3,36200,0
411,357.7,3.9,24900,0
412,344.4,2.8,36300,0
413,337.8,1.7,34100,0
414,337.5,3.6,45800,0
415,342.7,4,26400,0
416,338.4,1.6,32800,0
417,333.3,2.8,30500,0
418,336.4,4.4,26900,0
419,328,2.5,36200,1
420,318.5,2.6,43100,0
421,338.5,1.3,130000,0
422,316.9,1.8,66100,0
423,,,-100000,3
424,303.5,2.3,37800,0
425,309.9,2.1,35400,0
426,316.3,2.5,34400,0
427,307.5,2.1,59800,0
428,318.2,2.5,41200,1
429,328.6,1.4,111000,0
430,327.1,1.7,104000,0
431,324.3,2.4,58000,0
432,327,1.7,28200,0
433,324.4,1.6,25600,0
434,323.5,3,60400,1
435,330.2,2,37400,0
